Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Publication Share growth (%),Field-Weighted Citation Impact,Prominence percentile
Finite Element Method; Crack Propagation; Mesh Generation,TC.327,5.0,0.03,-100.0,0.25,66.383
Salivary Gland; Computed Tomography; Neonatal Infant,TC.572,5.0,0.04,,1.04,33.617
Mycotoxin; Aflatoxin; Ochratoxin,TC.642,5.0,0.03,,0.25,78.94
Mental Health; Primary Health Care; Depression,TC.852,5.0,0.06,-100.0,0.7,43.558
Environmental Monitoring; Climate Change; Freshwater Ecosystem,TC.886,5.0,0.05,,0.24,38.522
Natural Resource; Environmental Policy; Deforestation,TC.1065,5.0,0.05,-100.0,0.87,45.912
Seismology; Seismic Response; Geophysics,TC.1076,5.0,0.05,-100.0,0.62,30.15
Deforestation; Forestry; Climate Change,TC.1143,5.0,0.04,,6.85,68.869
Gallium Arsenide; Quantum Dot; Indium,TC.130,5.0,0.03,-100.0,0.3,55.461
Behavioral Disorder; Mental Health; Behavior (Neuroscience),TC.1172,5.0,0.07,,0.45,23.022
Solid Electrolyte; Lithium; Battery (Electrochemical Energy Engineering),TC.1239,5.0,0.05,191.0,0.25,84.042
Melatonin; Behavior (Neuroscience); Photoreceptor,TC.232,4.0,0.02,,2.1,88.293
Bladder; Computed Tomography; Human Study,TC.364,4.0,0.02,,0.0,46.109
Soliton Solution; Schrödinger Equation; Nonlinear Optics,TC.551,4.0,0.02,,0.15,83.192
Empathy; Quality of Life; Shared Decision Making,TC.596,4.0,0.03,454.4,0.03,52.322
Autonomic Nervous System; Vagus Nerve; Cardiovascular System,TC.621,4.0,0.03,,0.03,48.463
Memory Architecture; Benchmarking; Integrated Circuit Design,TC.756,4.0,0.06,-100.0,0.27,15.697
Ubiquitous Computing; Internet of Things; Information System,TC.1211,4.0,0.15,-100.0,0.07,5.69
Forestry; Climate Change; Switchgrass,TC.1286,4.0,0.05,,0.34,45.128
Philosophy; Epistemology; Metaphysics,TC.1324,4.0,0.07,-100.0,0.31,6.802
Activity Theory; Toddlers; English Language,TC.1346,4.0,0.06,-100.0,0.18,14.519
Irrigation; Water Pollution; Wastewater Treatment,TC.1476,4.0,0.17,,0.78,7.325
Obstructive Sleep Apnea; Body Mass Index; Quality of Life,TC.194,4.0,0.02,,0.32,78.156
Myeloproliferative Neoplasm; Viral Disease; Janus Kinase,TC.237,4.0,0.02,-100.0,0.14,71.55
Organic Solar Cells; Conjugated Polymer; Heterojunction,TC.477,4.0,0.02,,1.1,92.283
Hippocampus; Randomized Controlled Trial; Coronary Vessel,TC.760,4.0,0.04,,0.45,22.825
Gas Chromatography; Tandem Mass Spectrometry; Ultrasonics,TC.792,4.0,0.04,-100.0,0.13,20.275
Augmented Reality; Keyboard; Human-Computer Interaction,TC.853,4.0,0.05,-100.0,1.66,23.937
Magnesium; Ultimate Tensile Strength; Grain Size,TC.949,4.0,0.04,-100.0,0.05,73.578
Copula; Gaussian Distribution; Statistics,TC.1155,4.0,0.06,,0.15,19.032
Intensive Care Unit; Neonatal Infant; Critical Illness,TC.67,4.0,0.01,-100.0,0.45,82.145
Colorectal Cancer; Human Study; Colon,TC.244,4.0,0.02,,0.77,68.476
Lithography; Process Control; Diffraction Grating,TC.373,4.0,0.04,-100.0,0.0,23.349
Norovirus; Rotavirus; Neonatal Infant,TC.652,4.0,0.03,,0.32,52.649
Mental Health; Adolescent; Anxiety Disorder,TC.934,4.0,0.04,,0.1,45.847
Dehydrogenation; Methane; Silicon Dioxide,TC.1027,4.0,0.05,-100.0,0.04,62.786
Isoflavone; Soybean; Antioxidant Capacity,TC.1219,4.0,0.06,-100.0,0.29,32.767
Anthropocene; Religion; Climate Change,TC.1434,4.0,0.05,-100.0,1.25,15.631
Landscape Evolution; Himalayas; Geographic Information System,TC.1464,4.0,0.08,,0.1,14.716
Cannabis; Substance Abuse; Dose-Response Relationship,TC.607,4.0,0.02,,0.28,83.061
Reinforcement Learning; Robot; Artificial Intelligence,TC.679,4.0,0.01,,1.08,86.527
Wrist Joint; Thumb; Bone Plate,TC.725,4.0,0.03,,0.09,24.787
Behavior (Neuroscience); Photoreceptor; Visual Pathway,TC.778,4.0,0.05,,0.71,41.596
Computed Tomography; Adrenal Gland; Neuroblastoma,TC.889,4.0,0.04,-100.0,0.06,32.178
Antivenom; Enzyme; Amino Acids,TC.1059,4.0,0.06,,0.28,29.758
Software Engineering; Computer Architecture; Quality of Service,TC.1191,4.0,0.14,,0.28,6.082
Human Immunodeficiency Virus Infection; T-Helper Cell; Cytotoxic T-Cell,TC.279,4.0,0.04,,0.44,48.398
Lower Jaw; Human Study; Quality of Life,TC.528,4.0,0.02,,0.0,34.99
Climate Change; Soil Moisture; Vegetation,TC.539,4.0,0.02,,2.69,77.044
Vibration Analysis; Blind Signal Separation; Independent Component Analysis,TC.558,4.0,0.02,,0.04,88.555
Behavior (Neuroscience); Hippocampus; Hypothalamo-Hypophyseal System,TC.680,4.0,0.04,-100.0,1.65,52.453
Next Generation Sequencing; DNA; Human Genomics,TC.929,4.0,0.02,-100.0,0.17,67.168
Vibrio; Chemistry; Bacterial Protein,TC.1036,4.0,0.06,,0.28,32.047
Reliability Analysis; Engineering; Finite Element Method,TC.1213,4.0,0.05,,0.16,39.895
Hirshfeld Surface; Machine Learning; Hydrogen Bonding,TC.1264,4.0,0.04,,1.78,60.497
Computational Fluid Dynamics; Corrosion; Hydraulics,TC.1397,4.0,0.06,-100.0,0.13,27.338
Linguistics; English Language; Social Media,TC.1484,4.0,0.09,-100.0,0.67,4.905
Pharmacotherapy; Antiphospholipid Antibody; Ribavirin,TC.98,4.0,0.03,1127.5,0.22,47.874
Cardiovascular System; Mechanical Stress; Finite Element Method,TC.208,4.0,0.03,-100.0,1.97,52.583
Palliative Care; End of Life Care; Intensive Care Unit,TC.272,4.0,0.02,,0.66,69.13
Chemotherapy; Oncogene Protein; Clinical Trial,TC.369,4.0,0.02,,0.55,76.063
Quality of Life; Clinical Trial; Topical Corticosteroid,TC.471,4.0,0.02,-100.0,2.03,73.97
Hydraulics; Soil Water; Groundwater Flow,TC.507,4.0,0.03,,0.14,50.033
Computed Tomography; Testes; Squamous Cell Carcinoma,TC.599,4.0,0.03,,0.26,23.676
HDL-Cholesterol; Lipid; Macrophage,TC.617,4.0,0.04,,0.29,61.674
Deception; Antisocial Personality Disorder; Mental Health,TC.741,4.0,0.03,,0.47,46.239
Soil Microbiology; Soil Enzyme Activity; Metagenomics,TC.814,4.0,0.02,,0.28,83.715
X-Ray Photoelectron Spectroscopy; Scanning Electron Microscopy; Nanofluidics,TC.1011,4.0,0.07,,0.48,40.353
Computational Fluid Dynamics; Hydrodynamics; Emissions,TC.1097,4.0,0.03,-100.0,0.1,60.693
Pediatrics; Computed Tomography; Organ Donor,TC.185,4.0,0.02,,0.69,70.177
Computed Tomography; Stomach Cancer; Human Study,TC.350,4.0,0.02,,0.37,69.523
Adipose Tissue; Adipocyte; Macrophage,TC.409,4.0,0.02,,1.69,83.78
Laser Pulse; Silicon; Polymerization,TC.673,4.0,0.04,,0.17,50.621
Ocular Surface; Tear Film; Canine,TC.747,4.0,0.03,,0.71,49.117
Ketones; Asymmetric Catalysis; Addition Reaction,TC.784,4.0,0.05,,0.7,47.024
Structure Activity Relationship; Cell Proliferation; Western Blot,TC.834,4.0,0.04,,1.04,60.759
Finite Element Method; Traffic Accident; Biomechanics,TC.1300,4.0,0.07,,0.46,14.65
Patient with Inflammatory Bowel Disease; Quality of Life; Pediatrics,TC.109,4.0,0.01,,0.42,84.107
Thyroid Gland; Human Study; Cancer,TC.125,4.0,0.01,-100.0,0.0,76.782
Oligodendrocyte; Central Nervous System; Hippocampus,TC.287,4.0,0.02,-100.0,0.19,80.249
Image Processing; Rendering in Computer Graphics; Robot,TC.332,4.0,0.03,,0.15,44.866
Lipid; Phosphatidylcholine; GTP Binding Protein,TC.405,4.0,0.04,,0.8,61.413
Rheumatoid Arthritis; Rheumatology; Pharmacotherapy,TC.448,4.0,0.02,-100.0,0.98,74.624
Diamond; Chemical Vapor Deposition; Tribology,TC.464,4.0,0.03,,0.23,62.917
Electromagnetic Field; Cell Proliferation; Neonatal Infant,TC.1101,4.0,0.07,885.7,0.17,25.834
Welfare; Territory; Phenomenology,TC.1126,4.0,0.04,,0.54,17.92
Mega Event; Social Media; Athletes,TC.1151,4.0,0.04,,0.0,29.039
Smoke; Computational Fluid Dynamics; Tunnel Fire,TC.1171,4.0,0.05,-100.0,0.12,34.402
Image Processing; Colorimetry; Signal-to-Noise Ratio,TC.1242,4.0,0.08,,0.0,13.277
Scanning Electron Microscopy; Fourier Transform Infrared Spectroscopy; Biocompatibility,TC.1279,4.0,0.05,-100.0,0.27,51.995
Endangered Species; Skate Fish; Climate Change,TC.1327,4.0,0.06,,0.57,26.75
Drug Discovery; Amino Acids; Virtual Screening,TC.210,4.0,0.02,,0.18,93.656
Deep Sea; Climate Change; Environmental Monitoring,TC.326,4.0,0.02,,0.45,58.6
Clinical Trial; Chemotherapy; Stomach Cancer,TC.716,4.0,0.03,-100.0,0.42,71.877
Access Control; Network Security; Cloud Computing,TC.846,4.0,0.03,,0.7,35.317
Macrophage; Nuclear Factor Kappa B; Cationic Antimicrobial Peptide,TC.903,4.0,0.06,-100.0,1.98,29.3
Fertility Preservation; Ovarian Follicle; Human Study,TC.936,4.0,0.04,,0.0,30.347
Early Childhood Education; Kindergarten; Toddlers,TC.1026,4.0,0.04,,0.33,37.999
Cochlear Implant; Sensation of Hearing; Occupational Noise,TC.1084,4.0,0.04,,0.0,33.486
Ketones; Palladium; Dehydrogenation,TC.1113,4.0,0.04,,0.52,59.189
Antioxidant Capacity; Ketones; Chemistry,TC.1178,4.0,0.11,,0.26,14.781
Bladder; Quality of Life; Pelvic Floor,TC.72,4.0,0.02,,0.11,57.031
Cerebrospinal Fluid; Computed Tomography; Contrast Medium,TC.411,4.0,0.02,-100.0,0.16,52.387
Geriatric Assessment; Chemotherapy; Human Study,TC.415,4.0,0.02,,0.34,52.191
Ultrasonics; Medical Ultrasound; Signal-to-Noise Ratio,TC.443,4.0,0.03,-100.0,0.47,54.676
Interpersonal Relations; Romantic Relationship; Parenting Style,TC.1197,4.0,0.05,,2.92,37.672
Computational Fluid Dynamics; Hydrodynamics; Two Phase Flow,TC.1284,4.0,0.08,,0.11,19.163
Consultation; Autonomy; Medical Ethics,TC.1422,4.0,0.1,,0.62,8.568
Human Study; Magnetic Resonance Imaging; Urology,TC.65,3.0,0.01,,0.38,87.574
Transplant Procedure; Pediatrics; Glomerular Filtration Rate,TC.218,3.0,0.02,,0.13,51.145
Genetics; Asian Rice; Common Wheat,TC.288,3.0,0.02,,0.25,78.221
Adipose Tissue; Abdominal Wall; Quality of Life,TC.349,3.0,0.01,,0.17,51.275
Discrete Element Method; Shear Flow; Finite Difference Method,TC.1122,3.0,0.04,,0.03,27.404
Biological Control; Bug; Animal Morphology,TC.1201,3.0,0.04,-100.0,0.17,18.313
Russia; Industry; Arctic Region,TC.1440,3.0,0.04,-100.0,0.33,14.323
Automaton; Automata Theory; Formal Verification,TC.154,3.0,0.02,,0.1,34.925
Computed Tomography; Behcet's Syndrome; COVID-19,TC.217,3.0,0.01,-100.0,0.0,66.122
Metal-Oxide-Semiconductor Field-Effect Transistor; Silicon Carbide; Power Electronics,TC.412,3.0,0.02,-100.0,0.12,52.518
Iodine; Thyroid Gland; Neonatal Infant,TC.452,3.0,0.02,-100.0,0.0,45.782
Magnetic Resonance Imaging; Randomized Controlled Trial; Local Anesthetic,TC.616,3.0,0.02,-100.0,0.69,29.823
Decision Making; Behavioral Economics; Prospect Theory,TC.701,3.0,0.02,,0.54,57.358
Randomized Controlled Trial; Platelet; Emergency Medical Service,TC.790,3.0,0.02,,0.65,37.279
Philosophy; Esthetics; Democracy,TC.813,3.0,0.02,,1.71,8.829
Speech Perception; Prosody; Linguistics,TC.948,3.0,0.03,-100.0,0.3,18.836
Industry; Urban Economy; Territory,TC.1105,3.0,0.03,,0.1,30.804
Electroencephalography; Athletes; Cerebral Cortex,TC.1140,3.0,0.03,,1.58,37.802
Lithium; Waveguide; Refractive Index,TC.1309,3.0,0.14,-100.0,0.27,4.317
Industry; Cultural Policy; Industrial Sector,TC.1417,3.0,0.05,-100.0,0.1,17.397
Fossil; Paleoclimate; Eocene,TC.1449,3.0,0.08,,0.18,8.175
Magnetic Resonance Imaging; Pediatrics; Drug Delivery System,TC.159,3.0,0.01,,0.34,89.405
RNA; Cell Proliferation; Gene Expression Profiling,TC.417,3.0,0.02,,0.88,72.466
Amino Acids; Enzyme; Pasteurization,TC.761,3.0,0.03,,0.17,55.33
Cationic Antimicrobial Peptide; Amino Acids; Peptide Synthesis,TC.781,3.0,0.04,-100.0,0.58,48.071
Body Mass Index; Polycystic Ovarian Syndrome; Randomized Controlled Trial,TC.951,3.0,0.02,,0.98,59.974
Rhodium; Ketones; Chemistry,TC.1338,3.0,0.07,-100.0,0.46,24.264
Sympathetic Nervous System; Sympathectomy; Thrombophilia,TC.211,3.0,0.02,,0.0,50.294
Induced Pluripotent Stem Cell; Testes; Cardiomyocyte,TC.253,3.0,0.02,,1.1,74.101
Computed Tomography; Acute Pulmonary Embolism; Thromboprophylaxis,TC.265,3.0,0.02,-100.0,0.1,54.545
Neonatal Infant; Point-of-Care Ultrasound; Point of Care Systems,TC.515,3.0,0.02,-100.0,0.08,44.212
Emergency Department; Health Service; Emergency Medical Service,TC.978,3.0,0.03,,0.05,37.018
Selenium; Chromium; X-Ray Fluorescence Spectroscopy,TC.1225,3.0,0.07,,0.39,20.536
Alcohol Abuse; Forensic Toxicology; Gas Chromatography,TC.1268,3.0,0.07,,1.23,16.874
Gender Identity; Mental Health; Athletes,TC.1285,3.0,0.04,,1.14,25.049
Asbestos; Computed Tomography; Tumor Suppressor Protein,TC.1311,3.0,0.06,-100.0,0.41,16.612
NLRP3 Inflammasome; Macrophage; Pyroptosis,TC.289,3.0,0.01,,0.41,94.179
Computational Fluid Dynamics; Finite Element Method; Turbulent Flow,TC.408,3.0,0.02,,0.29,42.446
Linear Matrix Inequality; Stability Criteria; Control System,TC.715,3.0,0.03,-100.0,0.47,54.153
World War II; Judaism; Mnemonics,TC.1032,3.0,0.02,,0.34,14.912
Iron Ore; Titanium; Scanning Electron Microscopy,TC.1131,3.0,0.04,-100.0,1.14,40.68
Thermogravimetric Analysis; Polyimide; Ultimate Tensile Strength,TC.1263,3.0,0.06,-100.0,0.44,30.216
Regulatory T Cell; T-Helper Cell; Cytotoxic T-Cell,TC.123,3.0,0.02,-100.0,0.35,75.409
Information Theory; Network Coding; Antenna,TC.203,3.0,0.02,,0.13,53.564
Macrophage; Bacterial Protein; Amino Acids,TC.497,3.0,0.02,,0.62,81.164
Sexual Behavior; Quality of Life; Randomized Controlled Trial,TC.693,3.0,0.03,,0.55,27.927
DNA; Mitochondrial Protein; Genetics,TC.827,3.0,0.03,,0.11,44.997
Borderline Personality Disorder; Substance Abuse; Personality Inventory,TC.1058,3.0,0.04,-100.0,10.87,31.851
Quality Control; Clinical Biochemistry; Laboratory Medicine,TC.1358,3.0,0.06,,0.0,14.454
Stratosphere; Troposphere; Planetary Atmosphere,TC.260,3.0,0.02,,1.06,65.86
Seismology; Subduction Zone; Japan,TC.413,3.0,0.02,-100.0,0.08,59.712
Auction; Cooperative Game; Commerce,TC.614,3.0,0.02,-100.0,0.29,35.121
Health Care; Medicare; Chronic Disorder,TC.836,3.0,0.02,,2.02,46.959
Epoxy; Thermogravimetric Analysis; Differential Scanning Calorimetry,TC.874,3.0,0.03,,0.26,57.619
Aeromonas; Next Generation Sequencing; Salmo salar,TC.979,3.0,0.03,,0.5,36.952
Islam; Religion; Discrimination,TC.1392,3.0,0.04,,1.6,8.764
Cell Cycle Protein; Protein Serine-Threonine Kinase; Tubulin,TC.151,3.0,0.01,-100.0,0.63,83.649
United Nations; Democracy; Religion,TC.819,3.0,0.02,,1.3,31.589
Quality of Life; Endothelial Cell; Upper Limb,TC.1008,3.0,0.03,-100.0,0.56,37.933
Computed Tomography; Respiratory Medicine; Human Study,TC.1139,3.0,0.04,,0.08,17.789
Polynomial; Hypergeometric Function; Integral Operator,TC.1240,3.0,0.04,,0.82,22.302
Bacterial Protein; Fluorescence Spectroscopy; Pigment,TC.625,3.0,0.03,,0.08,57.881
GTP Binding Protein; Smooth Muscle; Western Blot,TC.816,3.0,0.04,-100.0,0.63,37.214
Video Recording; Image Analysis; Search Engine,TC.935,3.0,0.06,-100.0,0.0,13.342
Squamous Cell Carcinoma; Vulvar Cancer; Vulva,TC.985,3.0,0.03,-100.0,0.04,15.827
Canine; Zoonoses; Veterinary Medicine,TC.1125,3.0,0.03,,0.25,42.184
Abiotic Stress; Common Wheat; Seed Treatment,TC.1210,3.0,0.04,,1.81,34.859
Clostridium difficile; T Cell; Peripheral Blood Stem Cell Transplantation,TC.89,3.0,0.01,,0.1,71.354
Computed Tomography; Neonatal Infant; Pediatrics,TC.395,3.0,0.02,,0.0,26.946
Quality of Service; Network Security; Video Streaming,TC.661,3.0,0.08,-100.0,0.14,9.549
Leishmania; Macrophage; Parasite (Microbiology),TC.662,3.0,0.03,,0.2,43.1
Organic Compound; Biodegradation; Fluorescence Spectroscopy,TC.768,3.0,0.03,,0.25,66.318
Ferroptosis; Platelet; Human Homeostasis,TC.865,3.0,0.02,,0.06,91.956
Seismic Response; Finite Element Method; Uncertainty Analysis,TC.1061,3.0,0.03,,0.16,34.467
Germanium; Silicon; Metal-Oxide-Semiconductor Field-Effect Transistor,TC.1095,3.0,0.1,,1.94,8.11
Substance Abuse; Opiate Substitution Treatment; Drug Use,TC.117,2.0,0.01,,4.07,82.668
Transcription Factor Nrf2; Connexin; Western Blot,TC.366,2.0,0.01,,0.47,69.588
Solidification; Aluminum; Silicon Alloys,TC.435,2.0,0.02,,0.44,51.733
Photonics; Optical Device; Silicon,TC.512,2.0,0.02,,0.0,38.391
Number; Polynomial; Matrix (Mathematics),TC.517,2.0,0.01,,0.14,19.424
Circular RNA; Cell Proliferation; Gene Expression Profiling,TC.570,2.0,0.01,,0.37,94.114
T Cell; Natural Killer Cell; Cluster of Differentiation Antigen,TC.591,2.0,0.02,-100.0,0.0,67.757
Methane; Carbon Dioxide; Molecular Dynamics,TC.605,2.0,0.02,-100.0,0.08,46.697
Intersex; Testes; Genetics,TC.720,2.0,0.02,,0.22,34.14
Data Structure; Pattern Matching; Computational Complexity,TC.735,2.0,0.02,,0.12,19.228
Visual Perception; Behavior (Neuroscience); Individual Differences,TC.925,2.0,0.02,-100.0,0.34,44.081
Deadlock; Discrete Event Simulation; Robot,TC.1375,2.0,0.07,,0.17,7.587
Animal Morphology; Fossil; Endemism,TC.1376,2.0,0.03,-100.0,0.21,11.184
United Nations; Environmental Policy; Paris Agreement,TC.1425,2.0,0.03,,0.28,17.462
Democracy; Arab World; Islam,TC.1477,2.0,0.05,-100.0,0.0,5.821
Phenomenology; Consciousness; Empathy,TC.1483,2.0,0.04,,0.1,3.009
Liquid Chromatography; Tandem Mass Spectrometry; Molecular Biology,TC.469,2.0,0.02,-100.0,0.0,64.748
Neonatal Infant; Childbirth; Cervix Uteri,TC.606,2.0,0.02,,0.19,45.389
Hippocampus; Behavior (Neuroscience); Amygdala,TC.622,2.0,0.02,,1.01,63.833
Neonatal Infant; Pediatrics; Distraction Osteogenesis,TC.709,2.0,0.02,,1.38,36.233
Folic Acid; Dietary Supplement; Vitamin B,TC.710,2.0,0.02,,0.31,42.054
Stable Isotope; Groundwater Resource; Soil Water,TC.1277,2.0,0.02,-100.0,0.3,29.562
Pig; Sorghum; Feed Supplementation,TC.1287,2.0,0.03,,0.0,33.878
Justice; Democracy; Criminal Law,TC.1332,2.0,0.02,,1.16,10.857
Anthocyanin; Irrigation; Water Use Efficiency,TC.1416,2.0,0.03,-100.0,0.0,27.011
Visual Method; Participatory Action Research; Social Media,TC.1466,2.0,0.04,,0.3,6.344
Metaphysics; Philosophy; Islam,TC.1467,2.0,0.04,,0.0,3.532
General Relativity; Cosmic Microwave Background; Quantum Gravity,TC.22,2.0,0.01,-100.0,0.2,92.348
Behavior (Neuroscience); Prefrontal Cortex; Striatum,TC.241,2.0,0.01,,0.37,72.727
Robot; Control System; Antenna,TC.314,2.0,0.01,-100.0,0.0,89.928
Transcranial Magnetic Stimulation; Motor Cortex; Diffusion Tensor Imaging,TC.316,2.0,0.01,,0.0,75.082
Epistemology; Metaphysics; Philosophy,TC.358,2.0,0.01,-100.0,1.61,25.441
Scanning Tunneling Microscopy; Ferromagnetism; Quantum Optics,TC.434,2.0,0.02,,0.28,51.079
Genome Wide Association Study; Genetics; Single Nucleotide Polymorphism,TC.459,2.0,0.01,,0.0,91.498
Alcohol Abuse; Adolescent; Alcoholic Beverage,TC.463,2.0,0.01,,0.0,63.375
Vibration Analysis; Finite Element Method; Piezoelectricity,TC.568,2.0,0.01,,2.09,91.629
Psychoanalysis; Ego; History of Psychiatry,TC.738,2.0,0.02,-100.0,0.0,3.924
Phthalocyanine; Cobalt; Macrocycle,TC.870,2.0,0.03,,0.43,32.374
Commerce; Financial Market; Power Law,TC.1053,2.0,0.03,,4.03,20.994
Obstetrics; Childbirth; Neonatal Infant,TC.1067,2.0,0.02,,1.02,24.33
Irrigation; Microsatellite DNA; Forestry,TC.1079,2.0,0.02,,0.31,39.699
Cell Proliferation; Smooth Muscle; Western Blot,TC.1090,2.0,0.04,,0.5,21.256
Dysprosium; Cobalt; Molybdenum,TC.1175,2.0,0.03,-100.0,0.37,31.916
Comparative Literature; Colonialism; Orientalism,TC.1396,2.0,0.03,,1.42,4.644
Nursing Ethics; Empathy; Job Satisfaction,TC.1450,2.0,0.04,,0.0,20.798
Magnetic Resonance Imaging; Signal-to-Noise Ratio; Image Processing,TC.329,2.0,0.01,-100.0,0.8,58.797
Sheep; African Swine Fever; Pig,TC.670,2.0,0.01,,0.0,58.143
Enzyme; Western Blot; Cell Proliferation,TC.697,2.0,0.02,,0.16,63.309
Finite Element Method; Ductile Fracture; Metal Forming,TC.727,2.0,0.02,-100.0,0.0,41.073
Petroleum Reservoir; Nuclear Magnetic Resonance; Finite Element Method,TC.1038,2.0,0.02,-100.0,0.42,25.507
Computed Tomography; Epigenetics; Human Study,TC.1047,2.0,0.03,,0.26,15.958
Click Chemistry; Amino Acids; Polymerization,TC.1050,2.0,0.02,,0.0,61.936
Physics; Particle Astrophysics; Antenna,TC.1060,2.0,0.03,,1.17,26.161
Vegetation; Climate Change; Endangered Species,TC.1083,2.0,0.03,,0.03,24.068
Information System; Query Processing; Artificial Intelligence,TC.1091,2.0,0.06,,0.0,5.625
Archeology; Pottery; Holocene,TC.1270,2.0,0.02,,0.67,16.416
Computational Fluid Dynamics; Vortex; Rotorcraft,TC.1281,2.0,0.04,,0.3,10.268
Multiple-Criteria Decision Analysis; Cognitive Map; Artificial Intelligence,TC.1433,2.0,0.04,,0.05,19.359
Forestry; Silviculture; Vegetation,TC.1437,2.0,0.07,,0.31,9.418
Atmospheric Aerosol; Exposure Assessment; Occupational Health,TC.1442,2.0,0.05,,0.38,20.34
Photonics; Amplitude Modulation; Optical Signal Processing,TC.164,2.0,0.01,,3.38,36.167
Finite Element Method; Reluctance Motor; Permanent Magnet Synchronous Motor,TC.313,2.0,0.01,,2.06,65.468
Drug Delivery System; DNA; RNA,TC.520,2.0,0.01,,0.07,86.985
Implantable Automatic Defibrillator; Pacemaker (Medical Device); Equipment Design,TC.546,2.0,0.02,-100.0,0.08,38.784
Climate Change; Atmospheric Aerosol; Southern Ocean,TC.643,2.0,0.02,,0.09,62.721
Polymerization; Ethylene; Chlorine Compound,TC.707,2.0,0.03,,0.04,30.085
Biostratigraphy; Fossil Record; Conodont,TC.793,2.0,0.02,-100.0,0.24,32.963
Behavior (Neuroscience); Sexual Selection; Invertebrate Ganglia,TC.996,2.0,0.03,,0.0,21.125
Control Flow; Electric Discharge; Boundary Layer,TC.1096,2.0,0.03,,0.11,20.405
DNA; Genetics; Antioxidant Capacity,TC.1241,2.0,0.03,,1.7,18.77
Educational Policy; Education Research; Intergenerational Mobility,TC.1256,2.0,0.02,-100.0,0.32,22.695
Fluorine; Radiochemistry; Bremsstrahlung,TC.1258,2.0,0.04,,0.2,17.855
Toddlers; Orphan; Mental Health,TC.1280,2.0,0.03,-100.0,0.55,15.37
Health Service; Delivery of Health Care; Adoption,TC.1304,2.0,0.02,,0.32,40.615
Environmental Monitoring; Plastic Waste; Foraging Behavior,TC.1315,2.0,0.03,,1.01,38.587
Invention Process; Industry; Data Mining,TC.1353,2.0,0.03,-100.0,0.0,24.591
Hypnosis; Dissociative Identity Disorder; Consciousness,TC.1485,2.0,0.08,,1.22,8.96
Ferromagnetism; Anisotropy; Magnetoresistance,TC.81,2.0,0.01,,0.26,80.576
Placenta; Quality of Life; Computed Tomography,TC.236,2.0,0.01,,0.0,70.831
Antenna; Electromagnetic Compatibility; Power Transformer,TC.266,2.0,0.01,-100.0,0.0,44.016
Complement System; Hereditary Angioedema; Encephalopathy,TC.732,2.0,0.02,,0.14,40.157
Hardy Space; Integral Operator; Heisenberg Group,TC.809,2.0,0.02,,0.05,13.473
Foraging Behavior; Endangered Species; Brazil,TC.1373,2.0,0.04,,0.49,14.127
Biological Soil Crust; Biomonitoring; Soil Moisture,TC.1381,2.0,0.04,,0.18,19.097
Circumstellar Disk; White Dwarf; Emissions,TC.100,2.0,0.01,,0.7,78.81
Tumor Suppressor Protein; Protein P53; Cell Proliferation,TC.205,2.0,0.02,,0.38,59.843
Family Planning; Intrauterine Device; Health Service,TC.425,2.0,0.01,,0.09,55.069
Dietary Supplement; Neonatal Infant; Zinc,TC.598,2.0,0.02,,0.76,53.695
Power Converter; Hydrodynamics; Oscillating Water Column,TC.812,2.0,0.01,,0.48,59.254
Forgiveness; Decision Making; Shame,TC.838,2.0,0.01,-100.0,0.22,32.636
Gluten Sensitivity; Quality of Life; Small Intestine,TC.1005,2.0,0.02,,0.0,35.252
Interleukin-33; Immunoglobulin E; Macrophage,TC.1100,2.0,0.04,,0.16,27.796
Autonomous Underwater Vehicle; Control System; Robot,TC.1229,2.0,0.02,,0.0,55.657
Ubiquinone; Cell Proliferation; Drug Screening,TC.1249,2.0,0.03,,0.21,25.638
Social Media; Consumer Culture; Consumerism,TC.1351,2.0,0.03,,0.61,35.448
Holocene; Paleoclimate; Climate Variation,TC.1408,2.0,0.03,,0.77,31.72
Fossil; Geology; Religion,TC.1455,2.0,0.06,,0.0,4.055
Natural Resource; Economic History; Finance,TC.1486,2.0,0.06,,1.41,15.893
DNA; Epigenetics; Telomerase,TC.36,2.0,0.0,-100.0,0.62,97.384
Neonatal Infant; Neonate; Neonatal Intensive Care Unit,TC.341,2.0,0.01,,0.0,65.402
Cell Proliferation; Endocrine Therapy; Postmenopause,TC.345,2.0,0.02,,0.3,64.487
Computed Tomography; Metalloproteinase; Western Blot,TC.573,2.0,0.02,,0.78,47.22
Platelet; Human Study; Prognostic Factor,TC.600,2.0,0.01,,0.36,62.982
Macrophage; T Cell; Animal Disease Model,TC.612,2.0,0.01,,0.22,91.302
Stock Assessment; Stable Isotope; Climate Change,TC.629,2.0,0.02,-100.0,0.97,46.828
Men Who Have Sex with Men; Sexual Behavior; Neonatal Infant,TC.675,2.0,0.02,,0.06,37.41
Epithelial Cell; Neonatal Infant; Patient with Cystic Fibrosis,TC.698,2.0,0.02,-100.0,0.45,63.048
Thermal Conductivity; Graphene; Molecular Dynamics,TC.1072,2.0,0.02,,0.0,67.103
Randomized Controlled Trial; Traditional Chinese Medicine; Moxibustion,TC.1082,2.0,0.02,,0.27,24.133
Nonlinear Optics; Silver; Optical Property,TC.1124,2.0,0.04,-100.0,1.16,19.948
